"""Time (s)"",""Latitude (°)"",""Longitude (°)"",""Height (m)"",""Velocity (m/s)"",""Direction (°)"",""Horizontal Accuracy (m)"",""Vertical Accuracy (m)"""
2.653959582E0,6.507794020E1,2.542211678E1,1.559631434E1,4.099999964E-1,1.843999939E2,6.612324238E0,7.494314194E0
3.654096978E0,6.507803390E1,2.542212146E1,1.849758169E1,7.699999809E-1,3.366000061E2,4.582293987E0,4.938768864E0
4.026475363E0,6.507800915E1,2.542208323E1,1.503774840E1,1.129999995E0,2.531000061E2,3.893188477E0,4.497928619E0
5.026114790E0,6.507799165E1,2.542205352E1,1.658462700E1,1.250000000E0,2.525000000E2,3.790092468E0,3.793157101E0
6.025510310E0,6.507798517E1,2.542203144E1,1.616348435E1,1.299999952E0,2.443999939E2,3.790092468E0,2.822910786E0
7.025839581E0,6.507798816E1,2.542200402E1,1.630746156E1,1.610000014E0,2.366999969E2,3.790092468E0,2.500000000E0
8.026463278E0,6.507799428E1,2.542197846E1,1.591219208E1,1.350000024E0,2.401000061E2,3.790092468E0,2.500000000E0
9.032191663E0,6.507801926E1,2.542197623E1,1.534620229E1,1.500000000E0,2.415000000E2,3.790092468E0,2.500000000E0
1.002903130E1,6.507802126E1,2.542193206E1,1.568036335E1,1.850000024E0,2.682999878E2,3.790092468E0,2.500000000E0
1.104185760E1,6.507802197E1,2.542190241E1,1.567065471E1,1.269999981E0,2.683999939E2,3.790092468E0,2.500000000E0
1.203081515E1,6.507802957E1,2.542187011E1,1.473796920E1,1.350000024E0,2.730000000E2,3.790092468E0,2.500000000E0
1.302943114E1,6.507803348E1,2.542185111E1,1.471538215E1,1.139999986E0,2.652999878E2,3.790092468E0,2.500000000E0
1.402929630E1,6.507803214E1,2.542182295E1,1.480406323E1,1.269999981E0,2.703999939E2,3.790092468E0,2.500000000E0
1.503327520E1,6.507803444E1,2.542178484E1,1.512095198E1,1.730000019E0,2.765000000E2,3.790092468E0,2.500000000E0
1.603435369E1,6.507803542E1,2.542175186E1,1.429477552E1,1.470000029E0,2.718999939E2,3.790092468E0,2.500000000E0
1.702982260E1,6.507803578E1,2.542172190E1,1.437185898E1,1.330000043E0,2.720000000E2,3.790092468E0,2.500000000E0
1.802692348E1,6.507803485E1,2.542169111E1,1.444576905E1,1.370000005E0,2.661000061E2,3.790092468E0,2.500000000E0
1.902991624E1,6.507803299E1,2.542165520E1,1.480593375E1,1.750000000E0,2.651000061E2,3.790092468E0,2.500000000E0
2.003156312E1,6.507803128E1,2.542162024E1,1.486757555E1,1.370000005E0,2.661000061E2,3.790092468E0,2.500000000E0
2.102736551E1,6.507802991E1,2.542159191E1,1.476491141E1,1.179999948E0,2.700000000E2,3.790092468E0,2.500000000E0
2.202577614E1,6.507802961E1,2.542156156E1,1.504353319E1,1.480000019E0,2.711000061E2,3.790092468E0,2.500000000E0
2.302808046E1,6.507802971E1,2.542153065E1,1.488349506E1,1.470000029E0,2.726000061E2,3.790092468E0,2.500000000E0
2.403231437E1,6.507803001E1,2.542150132E1,1.487421388E1,1.350000024E0,2.718999939E2,3.790092468E0,2.500000000E0
2.502575400E1,6.507803076E1,2.542147258E1,1.527124362E1,1.350000024E0,2.722999878E2,3.790092468E0,2.500000000E0
2.602737817E1,6.507803136E1,2.542144457E1,1.528289754E1,1.370000005E0,2.743999939E2,3.790092468E0,2.500000000E0
2.703037150E1,6.507803132E1,2.542141487E1,1.558513989E1,1.460000038E0,2.702000122E2,3.790092468E0,2.500000000E0
2.802786832E1,6.507803147E1,2.542138503E1,1.559276545E1,1.350000024E0,2.705000000E2,3.790092468E0,2.500000000E0
2.904144572E1,6.507803039E1,2.542135140E1,1.579423870E1,1.759999990E0,2.657000122E2,3.790092468E0,2.500000000E0
3.003060890E1,6.507803005E1,2.542131834E1,1.579997197E1,1.320000052E0,2.708999939E2,3.790092468E0,2.500000000E0
3.103166494E1,6.507803119E1,2.542129002E1,1.583005824E1,1.309999943E0,2.700000000E2,3.790092468E0,2.500000000E0
3.203204634E1,6.507803183E1,2.542125985E1,1.584354292E1,1.500000000E0,2.663999939E2,3.790092468E0,2.500000000E0
3.303069681E1,6.507803281E1,2.542122942E1,1.585244979E1,1.360000014E0,2.672999878E2,3.790092468E0,2.500000000E0
3.402894848E1,6.507803277E1,2.542120030E1,1.569949202E1,1.429999948E0,2.655000000E2,3.790092468E0,2.500000000E0
